,Model,Metric
0,KNN,0.9355817582798682
1,KNN,0.9329807525576557
2,KNN,0.9369689613317149
3,KNN,0.9341945552280215
4,KNN,0.93236798751409
5,KNN,0.935923003555016
6,Decision Tree,0.9419975723946593
7,Decision Tree,0.9430379746835443
8,Decision Tree,0.9457256805964973
9,Decision Tree,0.9395699670539275
10,Decision Tree,0.9412121737622474
11,Decision Tree,0.943293158761814
12,Gradient Boosting,0.9453788798335356
13,Gradient Boosting,0.9399167678168892
14,Gradient Boosting,0.9452921796427952
15,Gradient Boosting,0.9422576729668806
16,Gradient Boosting,0.9425994970952918
17,Gradient Boosting,0.9446804820948582
18,Random Forest,0.9625455176001387
19,Random Forest,0.960117912259407
20,Random Forest,0.9621120166464366
21,Random Forest,0.9634125195075429
22,Random Forest,0.9613283620913899
23,Random Forest,0.9628023931327495
