,Model,Metric
0,KNN,0.9352349575169066
1,KNN,0.9322004508409919
2,KNN,0.9371423617131958
3,KNN,0.9335009537020982
4,KNN,0.931067371889361
5,KNN,0.9360964189716465
6,Decision Tree,0.9407837697242933
7,Decision Tree,0.9428645743020635
8,Decision Tree,0.9439049765909485
9,Decision Tree,0.9399167678168892
10,Decision Tree,0.9412988814705627
11,Decision Tree,0.944593774386543
12,Gradient Boosting,0.9451187792613144
13,Gradient Boosting,0.939049765909485
14,Gradient Boosting,0.9445985781168719
15,Gradient Boosting,0.9416507716316976
16,Gradient Boosting,0.9420792508454001
17,Gradient Boosting,0.9446804820948582
18,Random Forest,0.9623721172186579
19,Random Forest,0.9599445118779262
20,Random Forest,0.9627189179816196
21,Random Forest,0.9613317149297729
22,Random Forest,0.9625422700078037
23,Random Forest,0.9633226393826411
